1.517784e+09,1.512765e+09,1.492150e+09,1.460882e+09,1.434595e+09,1.412759e+09,1.392144e+09,1.362029e+09,1.327167e+09,1.299003e+09,1.266082e+09,1.233579e+09,1.185742e+09,1.125263e+09,1.081901e+09,1.054899e+09
1.560546e+09,1.554775e+09,1.539760e+09,1.515251e+09,1.493819e+09,1.470210e+09,1.444700e+09,1.412704e+09,1.380935e+09,1.352610e+09,1.321507e+09,1.291160e+09,1.245992e+09,1.185798e+09,1.130745e+09,1.093412e+09
1.611231e+09,1.608518e+09,1.592591e+09,1.572224e+09,1.553706e+09,1.528984e+09,1.504128e+09,1.469670e+09,1.436164e+09,1.399783e+09,1.368665e+09,1.342021e+09,1.297865e+09,1.237343e+09,1.177640e+09,1.134251e+09
1.670789e+09,1.665061e+09,1.655778e+09,1.636424e+09,1.611022e+09,1.583952e+09,1.558750e+09,1.523493e+09,1.485622e+09,1.448640e+09,1.409450e+09,1.377651e+09,1.341746e+09,1.285306e+09,1.224332e+09,1.175705e+09
1.734631e+09,1.732064e+09,1.726384e+09,1.701556e+09,1.669468e+09,1.640342e+09,1.608588e+09,1.574191e+09,1.533603e+09,1.498353e+09,1.453059e+09,1.414304e+09,1.378216e+09,1.326320e+09,1.267733e+09,1.214613e+09
1.813889e+09,1.815418e+09,1.804647e+09,1.776747e+09,1.741990e+09,1.710540e+09,1.674651e+09,1.634795e+09,1.595332e+09,1.559482e+09,1.508781e+09,1.458764e+09,1.421294e+09,1.369100e+09,1.315262e+09,1.258640e+09
1.942834e+09,1.922805e+09,1.924449e+09,1.897876e+09,1.842184e+09,1.795604e+09,1.753701e+09,1.709770e+09,1.661547e+09,1.615661e+09,1.571138e+09,1.512345e+09,1.465008e+09,1.415183e+09,1.362416e+09,1.314046e+09
2.137936e+09,2.094040e+09,2.089350e+09,2.057239e+09,1.972666e+09,1.887161e+09,1.824021e+09,1.776941e+09,1.733117e+09,1.677445e+09,1.618157e+09,1.561332e+09,1.505770e+09,1.454868e+09,1.399438e+09,1.356040e+09
2.335818e+09,2.300677e+09,2.250340e+09,2.209404e+09,2.130889e+09,2.014723e+09,1.909422e+09,1.835161e+09,1.790206e+09,1.742459e+09,1.669616e+09,1.598478e+09,1.542417e+09,1.490200e+09,1.434423e+09,1.385985e+09
2.506544e+09,2.482883e+09,2.410308e+09,2.342782e+09,2.273785e+09,2.168347e+09,2.036399e+09,1.924804e+09,1.849243e+09,1.795196e+09,1.723117e+09,1.640290e+09,1.573334e+09,1.520294e+09,1.465750e+09,1.413018e+09
2.692268e+09,2.648168e+09,2.576722e+09,2.480511e+09,2.393409e+09,2.285613e+09,2.154598e+09,2.024796e+09,1.927822e+09,1.850679e+09,1.771715e+09,1.685766e+09,1.609736e+09,1.549890e+09,1.494103e+09,1.434787e+09
2.919999e+09,2.844825e+09,2.742870e+09,2.618784e+09,2.506984e+09,2.385024e+09,2.259671e+09,2.126755e+09,2.007022e+09,1.904189e+09,1.810652e+09,1.726829e+09,1.647529e+09,1.580751e+09,1.521881e+09,1.462836e+09
3.140247e+09,3.049664e+09,2.910095e+09,2.760340e+09,2.604994e+09,2.473462e+09,2.342196e+09,2.220156e+09,2.090930e+09,1.972503e+09,1.856332e+09,1.754276e+09,1.671742e+09,1.611143e+09,1.551464e+09,1.481510e+09
3.402109e+09,3.275862e+09,3.081526e+09,2.888474e+09,2.688620e+09,2.536271e+09,2.409925e+09,2.284655e+09,2.158330e+09,2.030304e+09,1.901035e+09,1.781054e+09,1.688716e+09,1.623731e+09,1.574574e+09,1.505789e+09
3.814225e+09,3.574691e+09,3.280984e+09,3.016150e+09,2.777102e+09,2.586362e+09,2.442421e+09,2.312689e+09,2.190254e+09,2.071996e+09,1.941036e+09,1.812211e+09,1.708584e+09,1.633502e+09,1.578732e+09,1.520683e+09
4.295351e+09,3.814691e+09,3.413292e+09,3.122481e+09,2.863631e+09,2.629516e+09,2.465155e+09,2.326836e+09,2.198481e+09,2.083940e+09,1.954614e+09,1.829978e+09,1.726576e+09,1.642932e+09,1.581700e+09,1.534971e+09
